2026-01-03 13:02:10,334 | INFO | Kaggle dataset downloaded successfully
2026-01-03 13:02:10,334 | INFO | ETL pipeline finished successfully
2026-01-06 12:29:06,618 | INFO | ETL pipeline started
2026-01-06 12:29:06,619 | INFO | Environment: local
2026-01-06 12:29:06,620 | INFO | Downloading Kaggle dataset: siddheshtoraskar/comprehensive-fitness-and-health-tracking-dataset
2026-01-06 12:29:06,620 | INFO | Target folder: \\AdiNAS\docker\Projects\fitness-health-analytics\raw
2026-01-06 12:29:08,936 | INFO | Kaggle dataset downloaded successfully
2026-01-06 12:29:08,936 | INFO | ETL pipeline finished successfully
2026-01-06 12:47:00,152 | INFO | ETL pipeline started
2026-01-06 12:47:00,153 | INFO | Environment: local
2026-01-06 12:47:00,158 | INFO | Downloading Kaggle dataset: siddheshtoraskar/comprehensive-fitness-and-health-tracking-dataset
2026-01-06 12:47:00,158 | INFO | Target folder: /mnt/nas/Projects/fitness-health-analytics/raw
2026-01-06 12:47:02,303 | INFO | Kaggle dataset downloaded successfully
2026-01-06 12:47:02,303 | INFO | ETL pipeline finished successfully
2026-01-06 12:47:36,297 | INFO | ETL pipeline started
2026-01-06 12:47:36,298 | INFO | Environment: local
2026-01-06 12:47:36,302 | INFO | Downloading Kaggle dataset: siddheshtoraskar/comprehensive-fitness-and-health-tracking-dataset
2026-01-06 12:47:36,302 | INFO | Target folder: /mnt/nas/Projects/fitness-health-analytics/data/raw
2026-01-06 12:47:38,229 | INFO | Kaggle dataset downloaded successfully
2026-01-06 12:47:38,229 | INFO | ETL pipeline finished successfully
